"";"Sp1.TL1";"Sp2.TL1";"Sp3.TL1";"Sp4.TL1";"Sp5.TL1";"Sp6.TL1";"Sp7.TL1";"Sp8.TL1";"Sp9.TL1";"Sp10.TL1";"Sp11.TL1";"Sp12.TL2";"Sp13.TL2";"Sp14.TL2";"Sp15.TL2";"Sp16.TL2";"Sp17.TL2";"Sp18.TL3";"Sp19.TL3";"Sp20.TL3"
"1";1;0,833333333332735;0,833333333332735;0,833333333332735;1;0,833333333332735;0,833333333332735;0,833333333336757;0,833333333332735;1;0,833333333332735;0,211743856964087;0,999967510301488;0,0246879358678193;0,977737735552192;0,999826688694195;0,999999511992524;0,99928043745598;0,965800669722227;0,0115418663183419
"2";1;0,833333333332735;0,833333333332735;0,833333333332735;1;0,833333333332735;0,833333333332735;0,833333333418131;0,833333333332735;1;0,833333333332735;0,211743856964087;0,999967510301488;0,0246879358678193;0,977737735552192;0,999826688694195;0,999999511992524;0,99928043745598;0,965800669722227;0,0115418663183419
"3";1;0,833333333332735;0,833333333332735;0,833333333332735;1;0,833333333332735;0,833333333332735;0,833333334855122;0,833333333332835;1;0,833333333332735;0,211743856964087;0,999967510301488;0,0246879358678193;0,977737735552192;0,999826688694195;0,999999511992524;0,99928043745598;0,965800669722227;0,0115418663183419
"4";1;0,833333333332735;0,833333333332735;0,833333333332735;1;0,833333333332735;0,833333333332735;0,833333356444002;0,833333333336757;1;0,833333333332735;0,211743856964087;0,999967510301488;0,0246879358678193;0,977737735552192;0,999826688694195;0,999999511992524;0,99928043745598;0,965800669722227;0,0115418663183419
"5";1;0,833333333332735;0,833333333332735;0,833333333332735;1;0,833333333332735;0,833333333332735;0,833333632296653;0,833333333418131;1;0,833333333332735;0,211743856964087;0,999967510301488;0,0246879358678193;0,977737735552192;0,999826688694195;0,999999511992524;0,99928043745598;0,965800669722227;0,0115418663183419
"6";1;0,833333333332735;0,833333333332735;0,833333333332735;1;0,833333333332735;0,833333333332735;0,833336628865402;0,833333334855122;1;0,833333333332735;0,211743856964087;0,999967510301488;0,0246879358678193;0,977737735552192;0,999826688694195;0,999999511992524;0,99928043745598;0,965800669722227;0,0115418663183419
"7";1;0,833333333332735;0,833333333332735;0,833333333332735;1;0,833333333332735;0,833333333332735;0,833364289363131;0,833333356444002;1;0,833333333332735;0,211743856964087;0,999967510301488;0,0246879358678193;0,977737735552192;0,999826688694195;0,999999511992524;0,99928043745598;0,965800669722227;0,0115418663183419
"8";1;0,833333333332735;0,833333333332735;0,833333333332735;1;0,833333333332735;0,833333333332735;0,833581119775072;0,833333632296653;1;0,833333333332735;0,211743856964087;0,999967510301488;0,0246879358678193;0,977737735552192;0,999826688694195;0,999999511992524;0,99928043745598;0,965800669722227;0,0115418663183419
"9";1;0,833333333332735;0,833333333332735;0,833333333332735;1;0,833333333332735;0,833333333332735;0,835023429841613;0,833336628865402;1;0,833333333332735;0,211743856964087;0,999967510301488;0,0246879358678193;0,977737735552192;0,999826688694195;0,999999511992524;0,99928043745598;0,965800669722227;0,0115418663183419
"10";1;0,833333333332735;0,833333333332735;0,833333333332735;1;0,833333333332735;0,833333333332735;0,843148249836052;0,833364289363131;1;0,833333333332735;0,211743856964087;0,999967510301488;0,0246879358678193;0,977737735552192;0,999826688694195;0,999999511992524;0,99928043745598;0,965800669722227;0,0115418663183419
